,offset
0,35340
1,36230
2,36800
3,36708
4,36629
5,35194
6,35587
7,35306
8,36079
9,36623
10,35985
11,36032
12,36399
13,35842
14,36680
15,35494
16,35257
17,36064
18,35123
19,36894
20,36776
21,35863
22,35951
23,36309
24,36626
25,36636
26,35069
27,36490
28,35977
29,35610
30,36542
31,36707
32,35533
33,36275
34,37000
35,35274
36,36911
37,35715
38,35127
39,35110
40,35117
41,36395
42,36173
43,35083
44,36988
45,36869
46,35845
47,36470
48,35508
49,37049
50,35929
51,36551
52,35124
53,36145
54,35519
55,36629
56,35961
57,36988
58,36080
59,36197
60,35542
61,35772
62,35537
63,36451
64,35513
65,36623
66,36006
67,37015
68,35658
69,36962
70,35109
71,35917
72,36780
73,36941
74,36204
75,36953
76,36380
77,35269
78,35445
79,36353
80,36547
81,36826
82,35672
83,35312
84,36586
85,35746
86,36899
87,36542
88,37058
89,36521
90,36090
91,36982
92,37045
93,35929
94,36104
95,36764
96,36929
97,36437
98,35453
99,35686
100,35646
101,36268
102,37058
103,36872
104,36087
105,36798
106,36991
107,36099
108,35870
109,36271
110,36812
111,35135
112,36048
113,35562
114,36588
115,36698
116,35892
117,35913
118,36426
119,35419
120,35816
121,36188
122,36872
123,36504
124,36653
125,36446
126,36576
127,35832
128,35242
129,35963
130,36424
131,36106
132,35286
133,36659
134,35400
135,36131
136,36785
137,35870
138,35823
139,36067
140,36565
141,35125
142,36026
143,35154
144,35696
145,36505
146,36802
147,36324
148,36279
149,36249
150,35871
151,36390
152,35413
153,35410
154,36093
155,35529
156,35090
157,36643
158,35473
159,36170
160,36949
161,36826
162,36187
163,35540
164,35893
165,36117
166,35769
167,37015
168,36800
169,36248
170,35788
171,36005
172,36928
173,35616
174,36415
175,36187
176,36312
177,37025
178,36558
179,35076
180,35850
181,36669
182,36820
183,36745
184,37020
185,36879
186,36986
187,36581
188,36114
189,36722
190,35329
191,36127
192,36657
193,36214
194,35485
195,35937
196,37010
197,35179
198,36050
199,36846
200,35811
201,36232
202,36200
203,35474
204,36992
205,36098
206,35911
207,36058
208,36730
209,35795
210,35913
211,35773
212,35068
213,36167
214,36171
215,36341
216,36675
217,36319
218,35743
219,36003
220,36293
221,35122
222,36712
223,35535
224,36366
225,35427
226,36192
227,36261
228,35435
229,36828
230,35252
231,36700
232,36193
233,36697
234,36808
